no,"	info","	status","	version	","importance	","hardware	",my importance
569360,Extend Connection Constraints to valid ANY compatibility rules (1131 implicit casts),UNCONFIRMED,1.13.0,P3 normal,PC Windows 10,L
569369,Change location of layout and reset to menu entries,UNCONFIRMED,nightly,P3 normal,PC Windows 10,L
569388,Type info section for structs,UNCONFIRMED,1.13.0,P3 normal,PC Windows 10,M
569411,MSRC Case 62416 Elevation of Privilege security vuln due to TLS implementation error for hostname validation,UNCONFIRMED,unspecified,P3 normal,PC Windows 10,H
569372,TimoutException on HyperlinkDetector especially when just opening the file,UNCONFIRMED,unspecified,P3 normal,PC Windows 10,L
569436,[CDO] Allow to parse and edit XMI Resources stored as text files in CDO.,UNCONFIRMED,unspecified,P3 normal,PC Windows 10,M
569496,Wrong terminology for Gerrit name used in Variables dialog,UNCONFIRMED,1.18.0,P3 enhancement,All All,H
569513,Setting up platform-ui SDK environment fails.,UNCONFIRMED,1.18.0,P3 normal,PC Windows 10,H
569449,Re-license EPL-1.0 to EPL-2.0,UNCONFIRMED,unspecified,P3 normal,PC Windows 10,VL
569505,Edges display - Bug,UNCONFIRMED,unspecified,P3 normal,PC Windows 10,M
569507,Edges display using containers - Bug,UNCONFIRMED,unspecified,P3 normal,PC Windows 10,M
569447,Cannot open MarketPlace,NEW,unspecified,P3 normal,PC Windows 7,M
569510,Use Eclipse Platform for system file Icon,NEW,unspecified,P3 normal,PC Linux,L
569514,AutomationSystem editor should handle FB markers,NEW,unspecified,P3 normal,PC Linux,L
569380,Impossible to add some available components through Textual Editor in ES,NEW,1.2.0,P3 normal,PC Windows 10,H
569393,Switch to EPL 2.0,NEW,0.12.0,P3 normal,PC Windows NT,M
569431,Concepts names have too long names,NEW,1.3.1,P3 normal,PC Windows 10,L
569450,Functional Chains as Functional Primary Assets,NEW,0.9.1,P3 normal,PC Windows 10,L
569451,Customisation of Security Levels,NEW,unspecified,P3 normal,PC Windows 10,M
569477,Add a migration contribution for trace resources,NEW,0.12.0,P3 normal,PC Windows NT,L
569492,When using Capella 1.4.2 with the 1.4.3 XHTML Dropin - select exports are not generating image maps,NEW,1.4.3,P3 normal,PC Windows 10,M
569542,Broken file/image links added in a model element description causes generation failing,NEW,1.3.1,P3 critical,PC Windows 10,VH
569517,Since Eclipse 2020-09 cmake support is unusable,NEW,10.0.1,P3 normal,PC Linux,M
569440,[C++17] Implement parser support for pack expansions in using-declarations,NEW,10.1.0,P3 normal,PC Linux,L
569466,Platform JIPP verification build not started by gerrit,NEW,unspecified,P3 normal,PC Linux,L
569490,[mentors] Mentor required for Eclipse ComMA,NEW,unspecified,P3 normal,PC Linux,L
569362,Invalidated object returned when referencing non-cacheable entity,NEW,2.7.5,P3 major with 3 votes,All All,VH
569504,hint what to do next upon failed pull,NEW,unspecified,P3 normal,PC Windows 10,M
569532,rebase result dialog freezes Eclipse while build is in progress,NEW,unspecified,P3 normal,PC Windows 10,H
569526,"Avoid showing ""Show with Git"" in CTRL+3 for already shared projects",NEW,unspecified,P3 normal,PC Linux,L
569540,[Passage] rename the template of Licensed E4 RCP,NEW,1.1.0,P3 normal,All All,L
569435,"Uninstalling ""main"" product from an EPP deletes eclipse.exe and completely messes up the installation",NEW,unspecified,P3 normal,PC Linux,M
569434,Osgi/BuddyClassing loading broken with Java-11 ThreadContextClassloader and ForkJoinPool,NEW,unspecified,P3 normal,PC Mac OS X,M
569442,Wrong AST resolution on JDT,NEW,4.18,P3 major,All All,H
569498,"field ""cannot be resolved to a variable"" in ternary expression as method argument with String expression type",NEW,4.18,P3 normal,PC Linux,M
569512,CCE in State.writeBinaryLocations,NEW,4.18,P3 normal,PC Linux,M
569515,.classpath is being changed inappropriately on save altering JDK version,NEW,4.17,P3 normal,PC Windows 10,M
569516,.classpath is being changed inappropriately on save removing annotationpath,NEW,4.17,P3 normal,PC Windows 10,M
569522,[15] permitted subclass doesn't work with generics,NEW,4.18,P3 normal,PC Linux,M
